City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sangre Grande,TT,2022-04-12 18:31:24,10.5835,-61.1177,89.92,63,23,12.06
68,Puerto Ayora,EC,2022-04-12 18:31:24,-0.7393,-90.3518,84.16,77,43,9.44
69,Nanortalik,GL,2022-04-12 18:31:25,60.1432,-45.2371,36.36,66,100,4.52
70,Olinda,BR,2022-04-12 18:31:25,-8.0089,-34.8553,85.73,62,40,8.05
71,San Patricio,US,2022-04-12 18:31:26,28.017,-97.5169,87.75,65,94,20.85
72,Tuatapere,NZ,2022-04-12 18:31:26,-46.1333,167.6833,45.95,82,57,4.7
73,Urzhum,RU,2022-04-12 18:31:26,57.1141,49.9996,35.2,99,100,5.73
74,Clyde River,CA,2022-04-12 18:31:27,70.4692,-68.5914,3.43,78,100,14.97
75,Airai,TL,2022-04-12 18:27:52,-8.9266,125.4092,61.48,82,100,1.3
76,Saint-Philippe,RE,2022-04-12 18:31:27,-21.3585,55.7679,76.59,86,95,17.11
77,Barrow,US,2022-04-12 18:31:28,71.2906,-156.7887,1.42,66,100,6.91
78,Ayagoz,KZ,2022-04-12 18:31:28,47.9714,80.4392,41.04,48,73,12.97
79,Baturaja,ID,2022-04-12 18:28:24,-4.1333,104.1667,73.83,98,82,0.83
80,Sheregesh,RU,2022-04-12 18:31:29,52.9209,87.9869,26.38,96,32,2.08
81,Megion,RU,2022-04-12 18:31:29,61.0296,76.1136,37.42,98,92,4.32
82,Mar Del Plata,AR,2022-04-12 18:31:30,-38.0023,-57.5575,68.02,55,40,18.41
83,Kahului,US,2022-04-12 18:31:30,20.8947,-156.47,78.96,69,20,11.01
84,Vallentuna,SE,2022-04-12 18:31:31,59.5344,18.0776,46.31,57,0,4.61
85,Kavieng,PG,2022-04-12 18:31:31,-2.5744,150.7967,81.97,75,34,8.66
86,Acapulco,MX,2022-04-12 18:31:31,16.8634,-99.8901,85.82,66,40,5.75
87,Sarh,TD,2022-04-12 18:31:32,9.1429,18.3923,87.71,66,0,0.0
88,Kudahuvadhoo,MV,2022-04-12 18:31:32,2.6708,72.8944,84.11,75,20,13.2
89,Hobart,AU,2022-04-12 18:30:04,-42.8794,147.3294,52.27,82,7,5.75
90,Souillac,MU,2022-04-12 18:32:33,-20.5167,57.5167,75.58,88,40,11.5
91,Chumikan,RU,2022-04-12 18:32:34,54.7183,135.315,22.5,96,100,9.46
92,Akyab,MM,2022-04-12 18:32:34,20.15,92.9,80.42,80,5,5.86
93,Ondangwa,NA,2022-04-12 18:32:35,-17.9167,15.95,74.77,57,100,8.57
94,Khatanga,RU,2022-04-12 18:32:35,71.9667,102.5,-7.11,94,24,7.43
95,Turayf,SA,2022-04-12 18:32:36,31.6725,38.6637,61.05,51,0,9.22
96,Zhanaozen,KZ,2022-04-12 18:32:36,43.3,52.8,73.26,27,64,27.54
97,Uppsala,SE,2022-04-12 18:32:37,60.0,17.75,44.11,65,100,0.0
98,Lebu,CL,2022-04-12 18:32:37,-37.6167,-73.65,56.05,66,0,16.55
99,Belfast,GB,2022-04-12 18:29:07,54.5833,-5.9333,48.02,93,100,6.91
100,Ust-Maya,RU,2022-04-12 18:32:38,60.4167,134.5333,-0.8,99,67,1.23
101,Manokwari,ID,2022-04-12 18:32:38,-0.8667,134.0833,78.62,77,98,4.7
102,Suar,IN,2022-04-12 18:32:38,29.0333,79.05,84.97,19,100,5.46
103,Tasiilaq,GL,2022-04-12 18:32:39,65.6145,-37.6368,26.76,77,93,4.92
