City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Miragoane,HT,78.42,overcast clouds,18.4423,-73.0876,Wj hotel
193,Hwange,ZW,71.44,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
194,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
197,Hun,LY,82.15,clear sky,29.1268,15.9477,Alrwasi Hotel
201,Chuy,UY,74.23,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
202,Miraflores,MX,72.03,clear sky,19.2167,-98.8083,Hotel Mansión
207,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
208,Omboue,GA,77.63,light rain,-1.5746,9.2618,Hotel Olako
211,Savannah Bight,HN,80.8,clear sky,16.45,-85.85,Villa on Dunbar Rock
216,Santa Isabel Do Rio Negro,BR,84.67,moderate rain,-0.4139,-65.0192,Hotel GSA
218,Matara,LK,79.18,few clouds,5.9485,80.5353,Amaloh Boutique Resort
224,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
229,Sakakah,SA,81.97,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
232,Duobao,CN,70.84,heavy intensity rain,30.67,112.6895,Yongsheng Hotel
237,Mogadishu,SO,83.64,overcast clouds,2.0371,45.3438,Hotel Juba
241,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
248,Belmonte,BR,84.63,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
251,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
253,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
259,Daru,PG,78.66,overcast clouds,-9.0763,143.2092,Daru Lodge
261,Manggar,ID,81.66,overcast clouds,-2.8833,108.2667,Guest Hotel
262,Sao Francisco Do Sul,BR,76.91,scattered clouds,-26.2433,-48.6381,Hotel Kontiki
265,Tres Arroyos,AR,73.6,few clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
266,Pemangkat,ID,80.64,overcast clouds,1.1667,108.9667,Ramah Kost KITA
269,Bengkulu,ID,77.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
274,Kavaratti,IN,84.85,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
285,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
286,Trelew,AR,71.19,overcast clouds,-43.249,-65.3051,Hotel Touring Club
287,Kavieng,PG,81.48,light rain,-2.5744,150.7967,Nusa Island Retreat
290,Dingle,PH,77.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
311,General Pico,AR,79.79,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
314,Gazanjyk,TM,75.52,broken clouds,39.2446,55.5154,Railway motel
317,Senanga,ZM,71.78,broken clouds,-16.1167,23.2667,Zango lodge
318,Teoloyucan,MX,72.64,clear sky,19.7456,-99.1833,City Express Tepotzotlán
320,Khash,IR,74.1,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
323,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
326,Tagusao,PH,79.5,few clouds,9.1924,117.8141,Green Villa beach resort
332,Natal,BR,84.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
334,Ambovombe,MG,75.02,overcast clouds,-25.1667,46.0833,RELAHARA
335,Kroya,ID,76.86,moderate rain,-7.6331,109.2461,Devina kost & Homestay Kroya
337,Fasa,IR,78.04,few clouds,28.9383,53.6482,Fasa University Boys' Dormitory
338,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
339,Batesville,US,75.61,broken clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
344,Acevedo,CO,76.6,overcast clouds,1.8361,-75.855,Finca San Pedro
347,Kodinar,IN,83.55,clear sky,20.7903,70.7031,residency of N.B vadhel
351,Manbij,SY,76.1,clear sky,36.5281,37.9549,Manbej City Hotel
355,Ipixuna,BR,75.54,overcast clouds,-1.7625,-48.8043,Chalé do Mato
368,Shahrud,IR,71.04,overcast clouds,36.4182,54.9763,Royal Hotel
374,Lorengau,PG,80.31,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
383,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
385,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
389,Poso,ID,78.58,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
391,Ulcinj,ME,70.02,broken clouds,41.9294,19.2244,Hotel Palata Venezia
393,Mehran,IR,72.61,light rain,33.1222,46.1646,بوتیک زنانه بهار
394,Rocha,UY,77.02,clear sky,-34.4833,-54.3333,Hotel Arrarte
396,Kailua,US,75.18,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
399,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
400,Kilindoni,TZ,82.45,overcast clouds,-7.9139,39.6668,Bustani B&B
401,Tumaco,CO,82.04,light rain,1.7986,-78.8156,Unión Victoria
404,Ishigaki,JP,78.93,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
406,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
407,Ranong,TH,80.24,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
410,Alugan,PH,76.59,heavy intensity rain,12.2188,125.4808,JM Lodge
413,Sao Benedito Do Rio Preto,BR,84.16,broken clouds,-3.3336,-43.5283,João de Barro Hotel
414,Dunmore Town,BS,75.61,clear sky,25.5,-76.65,Coral Sands Hotel
418,Lumphat,KH,78.66,few clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
420,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
421,Utete,TZ,75.27,overcast clouds,-7.986,38.758,River View Lodge
423,Kifri,IQ,71.94,overcast clouds,34.6959,44.9661,میزان کفری
424,Ardakan,IR,81.5,overcast clouds,32.31,54.0175,Ardakan Hotel
425,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
427,Bowen,AU,75.81,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
428,Mitsamiouli,KM,81.0,overcast clouds,-11.3847,43.2844,Foyer ADM
429,Birjand,IR,72.07,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
430,Saraland,US,83.05,broken clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
437,Salalah,OM,82.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
439,Huarmey,PE,73.31,scattered clouds,-10.0681,-78.1522,Hotel Miramar
442,Meulaboh,ID,78.96,broken clouds,4.1363,96.1285,Kost Pria
443,Abasolo,MX,84.87,clear sky,20.45,-101.5167,Hotel y Parque Acuático La Caldera
446,Betioky,MG,71.51,light rain,-23.7167,44.3833,Bungalows Acacias Hotel
449,Paita,PE,74.23,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
450,Mitzic,GA,71.98,moderate rain,0.7821,11.549,Motel Emys
453,Guaratingueta,BR,82.4,few clouds,-22.8164,-45.1925,Kafé Hotel
463,Kloulklubed,PW,82.29,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
464,Harper,LR,84.4,overcast clouds,4.375,-7.7169,Screensaver
465,Bertoua,CM,78.78,overcast clouds,4.5833,13.6833,Hotel De Paris
466,Kieta,PG,77.79,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
471,Kendari,ID,75.63,broken clouds,-3.945,122.4989,Hotel Wixel
472,Tambura,SS,77.86,light rain,5.6,27.4667,Rikito Lodge
474,Placido De Castro,BR,83.21,overcast clouds,-10.3353,-67.1856,Hotel Carioca
475,Phalaborwa,ZA,81.68,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
476,Roma,US,71.08,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
477,Quelimane,MZ,73.47,clear sky,-17.8786,36.8883,Hotel Flamingo
480,Russell,US,77.97,scattered clouds,32.3502,-85.1999,Macs
482,Waingapu,ID,76.73,few clouds,-9.6567,120.2641,Pondok Wisata Elim
483,Pafos,CY,70.23,clear sky,34.7667,32.4167,Elysium Hotel
484,Manokwari,ID,78.73,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
485,Paka,MY,80.53,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
488,Buala,SB,79.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
494,Piacabucu,BR,84.52,clear sky,-10.4056,-36.4344,Piaçabuçu News
495,Pak Phanang,TH,83.16,overcast clouds,8.3511,100.202,Green Park Inn Hotel
497,Chiredzi,ZW,73.49,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
